study_id,study_slug,included_status,title,pmid,year_published,journal_published,article_type_general,article_type_specific,open_access,data_available,data_availability_notes,imaging_modality,resolution,sample_size_number,sample_size_notes,model_system,model_system_specific,organelles,quantifications,comparators_conditions,comments,source_file,source_sheet,source_repo_url,source_commit
Uemura 2024,uemura-2024,borderline,Three-dimensional ultrastructural and anatomical analysis of prostatic neuroendocrine cells in mice.,38590054,2024,Prostate,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
VerhoefJMJ 2024,verhoefjmj-2024,borderline,Detailing organelle division and segregation in Plasmodium falciparum.,38352445,2024,BioRxiv,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Wang 2023,wang-2023,borderline,Protein and lipid expansion microscopy with trypsin and tyramide signal amplification for 3D imaging.,38081848,2023,Scientific Reports,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Wendt 2016,wendt-2016,borderline,Electron tomography characterization of hemoglobin uptake in Plasmodium chabaudi reveals a stage-dependent mechanism for food vacuole morphogenesis.,26882843,2016,J Struct Biol.,,,,,,,,,,,,,,,Consensus,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Xu 2021,xu-2021,borderline,An open-access volume electron microscopy atlas of whole cells and tissues.,34616045,2021,Nature,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Yang 2010,yang-2010,borderline,3D visualization of subcellular structures of Schizosaccharomyces pombe by hard X-ray tomography: 3D VISUALIZATION OF SUBCELLULAR STRUCTURES,21050209,2010,Journal of Microscopy,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Yapp 2024,yapp-2024,borderline,Multiplexed 3D Analysis of Immune States and Niches in Human Tissue.,38014052,2024,BioRxiv,,,,,,,,,,,,,,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Borderlines,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Antao 2023,antao-2023,included,3D reconstructions of parasite development and the intracellular niche of the microsporidian pathogen Encephalitozoon intestinalis.,37996434,2023,Nature Communications,Research Article,Article,Yes,Yes,Our SBF-SEM datasets are publicly available in the EMPIAR database: EMPIAR-11683. Live-cell imaging and light microscopy data are available in Zenodo: https://doi.org/10.5281/zenodo.10009391.Source data are provided with this paper.,SBF-SEM,"2nm xy, 30-60nm z",21+ E.i. ; 4 Vero,"21+ E.i. (â€œA minimum of 7 parasites were segmented completely per conditionâ€ [sporonts, sporoblasts, spores]); 4 Vero (inc PV, Fig 5)",NHP; Other: Fungal pathogen,Encephalitozoon intestinalis (microsporidian fungal pathogen) infecting Vero cells (African green monkey cultured kidney epithelial cells),"Nucleus; ER; Mitochondria; Vacuole/Lysosome; Other: E.i: polaroplast, anchoring disc, polar tube, nucleation center, exospore",Volume; Volume fraction; Dimensions; Contacts/Associations,Other: Developmental stages,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Attias 2022,attias-2022,included,"Remarkable kinetoplast, cytostome-cytopharynx complex, and storage-related structures as dissected by three-dimensional reconstruction of Trypanosoma sp. 858 isolated from a toad (Amphibia: Anura)",34798356,2022,Micron,Research Article,Not specified,No,No,"N (""no data was used for the research described in the article""?)",FIB-SEM,unclear,1,Unclear,Flagellate protist,Trypanosoma sp. 858,Nucleus; Lipid Droplets; Flagella/cilia; Other,Dimensions,,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Bianco 2023,bianco-2023,included,Label-Free Intracellular Multi-Specificity in Yeast Cells by Phase-Contrast Tomographic Flow Cytometry.,37670547,2023,Small Methods,Technical Article,Research Article,Yes,No,Data Availability Statement The data that support the findings of this study are available from the corresponding author upon reasonable request.,Other: phase contrast tomography,0.5 (?),4,,Yeast,Saccharomyces cerevisiae,"Nucleus; Vacuole/Lysosome; Other: ""peri-vacuolar membrane area""","Volume; Volume fraction; Dimensions; Surface Area; Positioning/Distance; Contacts/Associations; Density; Shape; Other: size scaling, RI",Cell Cycle,,Additional file 2_includes_borderlines.xlsx,Data Extraction_Includes,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
