dataset_locator_id,study_id,study_slug,included_status,year,journal_published,open_access,study_data_available,public_locator_urls,public_repository_types,public_total_size_raw,public_total_size_bytes_min,public_total_size_bytes_max,public_size_parse_note,data_availability_notes,imaging_modality,modality_code,xy_nm,z_nm,organism_type,cell_type,cell_type_code,abbreviation,min_sample_size,sample_size_certain,sample_size_notes,organelles_common,organelles_specialized,source_file,source_sheet,source_repo_url,source_commit
valm-2017-100,Valm 2017,valm-2017,included,2017,Nature,Yes,Yes,,,,,,,Data availability. The authors declare that all data supporting the findings of this study are available within the paper and the Supplementary Information files.,Fluorescence (LLS),6,294-375,649-947,NHP,COS-7 (Cercopithecus aethiops),65,COS7,10,Y,,ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Peroxisome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wacker-2015-076,Wacker 2015,wacker-2015,included,2015,Journal of Microscopy,Yes,No,,,,,,,,SEM-AT,13,5,70,Fish,"Danio rerio, ""cogwheel"" cell",46,ZbCog,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wacker-2015-075,Wacker 2015,wacker-2015,included,2015,Journal of Microscopy,Yes,No,,,,,,,,SEM-AT,13,5,70,Fish,"Danio rerio, ""long process"" cell",45,ZbLP,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wacker-2015-085,Wacker 2015,wacker-2015,included,2015,Journal of Microscopy,Yes,No,,,,,,,,SEM-AT,13,5,70,Fish,"Danio rerio, adrenal medulla neutrophil",55,ZbAMN,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wacker-2015-084,Wacker 2015,wacker-2015,included,2015,Journal of Microscopy,Yes,No,,,,,,,,SEM-AT,13,5,70,Fish,"Danio rerio, cytotoxic T cell",54,ZbT,1,Y,,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wacker-2015-077,Wacker 2015,wacker-2015,included,2015,Journal of Microscopy,Yes,No,,,,,,,,SEM-AT,13,5,70,Fish,"Danio rerio, thymus",47,ZbTh,1,Y,"1 thymus, 1 cytotoxic t cell, 1 adrenal medulla neutrophil, 1 ea of unknown cell types (cogwheel and longer process)",Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wang-2023-114,Wang 2023,wang-2023,included,2023,iScience,Yes,No,,,,,,,Data: all the data reported in this study will be shared by the lead contact upon request. Software: The codes used in this iScience manuscript have been uploaded into the GitHub public platform and can be accessed at this web address: https://github.com/ramonbossardi/GithubCode_03162023.,Fluorescence,6,40,200,Human (cancer),AU565 (breast cancer),77,AU565,20,Y,,"Nucleus; Mitochondria, early endosome",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wang-2023-103,Wang 2023,wang-2023,included,2023,iScience,Yes,No,,,,,,,Data: all the data reported in this study will be shared by the lead contact upon request. Software: The codes used in this iScience manuscript have been uploaded into the GitHub public platform and can be accessed at this web address: https://github.com/ramonbossardi/GithubCode_03162023.,Fluorescence,6,40,200,Human (differentiated),MCF10A (breast epithelia),68,MCF10A,20,Y,,"Nucleus; Mitochondria, early endosome",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wang-2023-112,Wang 2023,wang-2023,included,2023,iScience,Yes,No,,,,,,,Data: all the data reported in this study will be shared by the lead contact upon request. Software: The codes used in this iScience manuscript have been uploaded into the GitHub public platform and can be accessed at this web address: https://github.com/ramonbossardi/GithubCode_03162023.,Fluorescence,6,40,200,Human (cancer),MDA231 (breast cancer),75,MDA231,20,Y,10 cells per 4 cell lines per 2 culture conditions,"Nucleus; Mitochondria, early endosome",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
wang-2023-113,Wang 2023,wang-2023,included,2023,iScience,Yes,No,,,,,,,Data: all the data reported in this study will be shared by the lead contact upon request. Software: The codes used in this iScience manuscript have been uploaded into the GitHub public platform and can be accessed at this web address: https://github.com/ramonbossardi/GithubCode_03162023.,Fluorescence,6,40,200,Human (cancer),T47D (breast cancer),76,T47D,20,Y,,"Nucleus; Mitochondria, early endosome",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
